"Requirement_ID","Role","Policy_Requirement","Process_Requirement","Competency","Mandatory_Optional","Priority","Source_Document","Source_Section","Assessment_Requirement","Source_Version","Scope"
"R135","Software Support Engineer","—","Pass the security and privacy modules within the first 30 days, before production access is granted","Production access prerequisites","Mandatory","High","DOC-14","2","Checklist item: modules passed before access request","1.1","Role-specific"
"R136","Team Leader/Tech Lead","—","Escalate any Tier 2 escalation still unresolved after 48 hours to the Branch Manager","Escalation ownership","Mandatory","High","DOC-14","4.2","Scenario quiz: a Tier 2 case open for 50 hours","1.1","Role-specific"
"R137","Team Leader/Tech Lead","—","Run a weekly team review of open tickets, deployments and incidents","Team operations review","Mandatory","Medium","DOC-14","4.2","Practical task: prepare a weekly review agenda","1.1","Role-specific"
"R138","Team Leader/Tech Lead","—","Coach new engineers through the role-critical modules of their onboarding learning path","Onboarding coaching","Mandatory","Medium","DOC-14","4.2","Checklist item: coaching sessions recorded","1.1","Role-specific"
"R139","Team Leader/Tech Lead","Approve flexible start times for Engineering and Data staff when work allows","—","Working-time flexibility","Optional","Low","DOC-14","4.3","Quiz: who may approve flexible start times","1.1","Role-specific"
"R140","Team Leader/Tech Lead","Accept Branch Manager authority for 500,000,000 VND deals or Tier 3 compensation only when named in a written delegation","—","Delegated authority limits","Mandatory","High","DOC-14","4.3","Scenario quiz: approving a large deal without a delegation","1.1","Role-specific"
"R141","Team Leader/Tech Lead","—","Take part in the weekly on-call rotation and respond to pages within 15 minutes","On-call leadership","Mandatory","High","DOC-20","4","Quiz: on-call obligations of Team Leaders","1.1","Role-specific"
"R142","Team Leader/Tech Lead","—","Hold documented day-30, day-45 and day-90 check-ins with every new team member","New-hire check-ins","Mandatory","High","DOC-11","7.1","Checklist: three check-in notes filed","1.2","Role-specific"
"R143","Team Leader/Tech Lead","—","Submit the probation evaluation of a new team member to the HR Executive by day 50","Probation evaluation","Mandatory","High","DOC-11","7.2","Scenario quiz: evaluation deadline for a hire who started on 1 June","1.2","Role-specific"
"R144","Team Leader/Tech Lead","—","Assign an onboarding buddy to every new team member for the first 30 days","Buddy assignment","Mandatory","Medium","DOC-11","8","Checklist item: buddy named before day 1","1.2","Role-specific"
"R145","Data Analyst","—","Request identifiable data only with written Data Privacy Officer approval stating the purpose and retention period","Identifiable-data requests","Mandatory","High","DOC-14","6.2","Practical task: write a data access request","1.1","Role-specific"
"R146","Data Analyst","—","Publish every recurring report with a data dictionary naming the source system and date range","Report documentation","Mandatory","Medium","DOC-14","6.2","Checklist: data dictionary of a sample report","1.1","Role-specific"
"R147","Data Analyst","—","Delete working extracts that contain personal data within 14 days of completing the analysis","Extract retention","Mandatory","High","DOC-14","6.2","Quiz: deletion deadline for working extracts","1.1","Role-specific"
"R148","Data Analyst","Create dashboards from aggregated data without further approval","—","Self-service analytics","Optional","Low","DOC-14","6.3","Quiz: which dashboards need approval","1.1","Role-specific"
"R149","Data Analyst","Never share row-level customer or learner data outside the Data team without Data Privacy Officer approval","—","Row-level data protection","Mandatory","High","DOC-14","6.3","Scenario quiz: a manager asks for a learner-level export","1.1","Role-specific"
"R150","Data Analyst","—","For a fraud review, access identifiable payment records only when named in writing with DPO approval, for at most 10 business days, and delete the extract when the investigation closes","Fraud-review data access","Mandatory","High","DOC-20","7","Scenario quiz: steps before opening payment records","1.1","Role-specific"
"R151","Data Analyst","—","Complete the Anonymised Data Handling module before receiving access to any dataset","Data access readiness","Mandatory","High","DOC-11","6.2","Checklist item: module passed before dataset access","1.2","Role-specific"
"R152","HR Executive","—","Complete pre-arrival preparation at least 7 business days before the start date: contract and handbook sent, accounts requested, published learning path confirmed, buddy nominated","Pre-arrival preparation","Mandatory","High","DOC-11","4.1","Checklist: pre-arrival tasks for a sample hire","1.2","Role-specific"
"R153","HR Executive","—","Collect the probation evaluation from the direct manager by day 50 and communicate the decision before day 60","Probation administration","Mandatory","High","DOC-15","3.2","Scenario quiz: probation timeline for a new hire","1.1","Role-specific"
"R154","HR Executive","—","Escalate onboarding tasks 5 business days overdue to the department head and missing accounts to IT Support the same day","Onboarding follow-up","Mandatory","Medium","DOC-11","11","Scenario quiz: handling an overdue security module","1.2","Role-specific"
"R155","HR Executive","—","Record a probation extension (once, at most 30 days) with the written agreement of the new hire, the manager and HR, including the reason and remaining learning tasks","Probation extension","Mandatory","Medium","DOC-11","7.3","Quiz: conditions for extending probation","1.2","Role-specific"
"R156","HR Executive","—","For rehires returning within 12 months, regenerate the onboarding path so that only modules whose source documents changed are repeated","Version-aware re-onboarding","Mandatory","Medium","DOC-11","9","Scenario quiz: which modules a rehire repeats","1.2","Role-specific"
"R157","HR Executive","—","Give contractors only the security and privacy modules, before any system access, instead of a full onboarding path","Contractor onboarding","Mandatory","Medium","DOC-11","9","Quiz: onboarding scope for contractors","1.2","Role-specific"
"R158","HR Executive","—","Retain onboarding checklists, check-in notes and probation evaluations for 5 years and show learning progress only to the new hire, the manager and HR","Onboarding records","Mandatory","Medium","DOC-11","12","Quiz: who may see a new hire's quiz scores","1.2","Role-specific"
"R159","HR Executive","—","Report onboarding KPIs to management every quarter","Onboarding reporting","Mandatory","Low","DOC-11","13","Practical task: compile a quarterly onboarding KPI report","1.2","Role-specific"
"R160","HR Executive","—","Assign the onboarding learning path and track its completion on the Employee Learning Dashboard","Learning path administration","Mandatory","High","DOC-11","3","Practical task: assign a path and read its progress","1.2","Role-specific"
"R161","HR Executive","As Data Privacy Officer, approve in writing any data access beyond the default access of a role","—","Access approval authority","Mandatory","High","DOC-15","3.3","Scenario quiz: an analyst requests identifiable data","1.1","Role-specific"
"R162","HR Executive","—","As Data Privacy Officer, lead the quarterly access review with IT Security and record its findings","Access review","Mandatory","Medium","DOC-15","3.3","Practical task: record findings of a sample access review","1.1","Role-specific"
"R163","HR Executive","Store medical certificates only in the restricted HR folder and never attach them to email","—","Sensitive-record handling","Mandatory","High","DOC-15","3.4","Quiz: storing a sick-leave certificate","1.1","Role-specific"
"R164","HR Executive","Never approve changes to your own employment record","—","Segregation of duties","Mandatory","High","DOC-15","6","Quiz: who approves a change to an HR Executive's own record","1.1","Role-specific"
"R165","Finance Associate","Change supplier bank details only after a call-back to a phone number already on file and a second approval by the Finance Manager recorded in the payment system","—","Payment fraud prevention","Mandatory","High","DOC-15","4.3","Scenario quiz: a supplier emails new bank details","1.1","Role-specific"
"R166","Finance Associate","—","Treat a bank-detail change request received only by email as possible phishing and report it to IT Security within 1 hour","Phishing response","Mandatory","High","DOC-15","4.3","Scenario quiz: reporting a suspicious change request","1.1","Role-specific"
"R167","Finance Associate","Never approve a claim on behalf of a manager","—","Approval boundaries","Mandatory","High","DOC-15","4.3","Quiz: what a Finance Associate may and may not approve","1.1","Role-specific"
"R168","Finance Associate","—","Reject any claim submitted after 30 days and state the reason in writing","Late-claim handling","Mandatory","Medium","DOC-15","4.2","Practical task: write a rejection for a late claim","1.1","Role-specific"
"R169","Finance Associate","—","Verify vendor invoices forwarded by the Operations Coordinator against the approved purchase order","Invoice verification","Mandatory","Medium","DOC-15","4.2","Practical task: match an invoice to a purchase order","1.1","Role-specific"
"R170","Finance Associate","—","Complete bank reconciliation and the accruals list during the last 3 business days of each month","Month-end close","Mandatory","Medium","DOC-15","4.4","Checklist: month-end close tasks","1.1","Role-specific"
"R171","Finance Associate","Take no planned annual leave during the last 3 business days of the month; sick and statutory leave are never blocked","—","Month-end leave blackout","Mandatory","Medium","DOC-20","5","Scenario quiz: a leave request for the 29th of the month","1.1","Role-specific"
"R172","Finance Associate","Never verify your own expense claim, and never both approve and pay the same claim or invoice","—","Segregation of duties","Mandatory","High","DOC-15","6","Quiz: segregation-of-duties conflicts","1.1","Role-specific"
"R173","Finance Associate","—","Complete the Approval Matrix module of the reimbursement SOP before verifying any claim","Finance readiness","Mandatory","High","DOC-11","6.2","Checklist item: Approval Matrix module passed","1.2","Role-specific"
"R174","Customer Support Executive","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R175","Sales Executive","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R176","HR Executive","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R177","Finance Associate","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R178","Operations Coordinator","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R179","Marketing Executive","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R180","Software Support Engineer","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R181","Branch Manager","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R182","Data Analyst","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R183","Team Leader/Tech Lead","—","Complete each onboarding module by reading every lesson, ticking every work task and passing the module quiz with at least 70 percent","Onboarding completion","Mandatory","Medium","DOC-11","6.1","Checklist item: module completion recorded on the learning dashboard","1.2","Company-wide"
"R184","Customer Support Executive","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R185","Sales Executive","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R186","HR Executive","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R187","Finance Associate","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R188","Operations Coordinator","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R189","Marketing Executive","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R190","Software Support Engineer","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R191","Branch Manager","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R192","Data Analyst","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R193","Team Leader/Tech Lead","—","On day 1, log in to SkillSprint AI, open the assigned onboarding path and meet the direct manager and the onboarding buddy","Day-1 onboarding","Mandatory","Medium","DOC-11","5.2","Checklist item: day-1 actions completed","1.2","Company-wide"
"R194","Customer Support Executive","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R195","Sales Executive","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R196","HR Executive","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R197","Finance Associate","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R198","Operations Coordinator","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R199","Marketing Executive","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R200","Software Support Engineer","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R201","Branch Manager","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R202","Data Analyst","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
"R203","Team Leader/Tech Lead","After passing probation, use up to 7,000,000 VND per year of learning budget for approved role-related courses","—","Professional development","Optional","Low","DOC-16","8","Quiz: learning budget amount and eligibility","1.1","Company-wide"
